,day,month,year,weekday,hour,minute,matchday,status,leagueName,leagueId,leagueType,stage,homeName,homeId,awayName,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt
437208,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Watford,346,Sunderland,71,0,0,1,0
436286,27,4,2024,6,14,0,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Crystal Palace,354,0,0,1,1
437214,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sheffield Wed,345,West Brom,74,1,0,3,0
437203,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Blackburn,59,Coventry City,1076,0,0,0,0
437205,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Cardiff,715,Middlesbrough,343,0,1,1,4
437211,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Norwich,68,Swansea,72,2,1,2,2
436292,27,4,2024,6,14,0,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Luton Town,389,1,0,2,1
437207,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Southampton,340,Stoke,70,0,1,0,1
437209,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Huddersfield,394,Birmingham,332,0,1,1,1
436287,27,4,2024,6,14,0,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Burnley,328,0,0,1,1
436285,27,4,2024,6,16,30,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Brentford,402,0,0,1,0
437210,27,4,2024,6,19,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Hull City,322,Ipswich Town,349,1,2,3,3
436284,27,4,2024,6,19,0,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Chelsea,61,2,0,2,2
436283,28,4,2024,7,13,0,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Brighton Hove,397,1,0,3,0
436290,28,4,2024,7,13,0,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Arsenal,57,0,3,2,3
436289,28,4,2024,7,15,30,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Man City,65,0,1,0,2
437212,29,4,2024,1,19,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Preston NE,1081,Leicester City,338,0,1,0,3
437194,30,4,2024,2,19,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Coventry City,1076,Ipswich Town,349,0,1,1,2
436197,2,5,2024,4,18,30,26.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Tottenham,73,1,0,2,0
436300,3,5,2024,5,19,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Luton Town,389,Everton,62,1,1,1,1
437222,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leicester City,338,Blackburn,59,0,0,0,2
437218,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Coventry City,1076,QPR,69,0,2,1,2
437224,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Rotherham Utd,385,Cardiff,715,2,1,5,2
437220,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Ipswich Town,349,Huddersfield,394,1,0,2,0
437226,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,West Brom,74,Preston NE,1081,1,0,3,0
437216,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sunderland,71,Sheffield Wed,345,0,2,0,2
436293,4,5,2024,6,11,30,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Bournemouth,1044,1,0,3,0
437217,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Birmingham,332,Norwich,68,0,0,1,0
437223,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Plymouth Arg,1138,Hull City,322,1,0,1,0
437219,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Middlesbrough,343,Watford,346,1,0,3,1
437225,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Stoke,70,Bristol City,387,3,0,4,0
437221,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leeds United,341,Southampton,340,1,2,1,2
437215,4,5,2024,6,11,30,46.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Swansea,72,Millwall,384,0,0,0,1
436302,4,5,2024,6,14,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Nottingham,351,1,1,1,3
436296,4,5,2024,6,14,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Newcastle,67,0,3,1,4
436294,4,5,2024,6,14,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Fulham,63,0,0,0,0
436301,4,5,2024,6,16,30,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Wolverhampton,76,3,0,5,1
436295,5,5,2024,7,13,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Aston Villa,58,0,0,1,0
436297,5,5,2024,7,13,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,West Ham,563,3,0,5,0
436299,5,5,2024,7,15,30,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Tottenham,73,2,0,4,2
437103,16,4,2024,2,19,0,36.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Southampton,340,Preston NE,1081,3,0,3,0
437198,20,4,2024,6,11,30,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leicester City,338,West Brom,74,1,0,2,1
436280,20,4,2024,6,14,0,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Burnley,328,0,2,1,4
437201,20,4,2024,6,14,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Rotherham Utd,385,Birmingham,332,0,0,0,0
437197,20,4,2024,6,14,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Huddersfield,394,Swansea,72,0,0,0,4
437199,20,4,2024,6,14,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Norwich,68,Bristol City,387,0,0,1,1
436278,20,4,2024,6,14,0,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Luton Town,389,Brentford,402,0,2,1,5
437193,20,4,2024,6,14,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Cardiff,715,Southampton,340,0,1,2,1
437196,20,4,2024,6,14,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Watford,346,Hull City,322,0,0,0,0
437202,20,4,2024,6,14,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Stoke,70,Plymouth Arg,1138,2,0,3,0
437191,20,4,2024,6,14,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sunderland,71,Millwall,384,0,0,0,1
437200,20,4,2024,6,16,15,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,QPR,69,Preston NE,1081,1,0,1,0
436282,20,4,2024,6,18,30,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Arsenal,57,0,1,0,2
437192,21,4,2024,7,11,30,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Blackburn,59,Sheffield Wed,345,1,1,1,3
436276,21,4,2024,7,12,30,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Nottingham,351,1,0,2,0
436275,21,4,2024,7,14,0,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,West Ham,563,4,1,5,2
436273,21,4,2024,7,14,0,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Bournemouth,1044,1,1,3,1
436277,21,4,2024,7,15,30,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Liverpool,64,1,1,1,3
437195,22,4,2024,1,19,0,44.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Middlesbrough,343,Leeds United,341,2,3,3,4
437125,23,4,2024,2,19,0,38.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leicester City,338,Southampton,340,1,0,5,0
436223,23,4,2024,2,19,0,29.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Chelsea,61,1,0,5,0
436232,24,4,2024,3,18,45,29.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Bournemouth,1044,0,1,0,1
437121,24,4,2024,3,18,45,38.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Coventry City,1076,Hull City,322,1,2,2,3
436227,24,4,2024,3,19,0,29.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Liverpool,64,1,0,2,0
436230,24,4,2024,3,19,0,29.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Sheffield Utd,356,1,1,4,2
436226,24,4,2024,3,19,0,29.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Newcastle,67,0,0,2,0
436224,25,4,2024,4,19,0,29.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Man City,65,0,3,0,4
437163,6,4,2024,6,11,30,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Norwich,68,Ipswich Town,349,1,0,1,0
436255,6,4,2024,6,11,30,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Man City,65,1,1,2,4
437161,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Huddersfield,394,Millwall,384,0,0,1,0
437155,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sunderland,71,Bristol City,387,0,0,0,0
436256,6,4,2024,6,14,0,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Burnley,328,1,0,1,0
436262,6,4,2024,6,14,0,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,West Ham,563,1,0,1,2
437159,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Middlesbrough,343,Swansea,72,1,0,2,0
437157,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Cardiff,715,Hull City,322,0,2,1,3
436258,6,4,2024,6,14,0,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Luton Town,389,Bournemouth,1044,0,0,2,1
437166,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Stoke,70,West Brom,74,0,1,2,2
436253,6,4,2024,6,14,0,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Brentford,402,1,0,3,3
437162,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leicester City,338,Birmingham,332,1,1,2,1
437156,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Blackburn,59,Southampton,340,0,0,0,0
436257,6,4,2024,6,14,0,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Newcastle,67,0,0,0,1
437164,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,QPR,69,Sheffield Wed,345,0,0,0,2
437160,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Watford,346,Preston NE,1081,0,0,0,0
437158,6,4,2024,6,14,0,41.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Coventry City,1076,Leeds United,341,1,0,2,1
436254,6,4,2024,6,16,30,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Arsenal,57,0,1,0,3
436259,7,4,2024,7,14,30,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Liverpool,64,0,1,2,2
436260,7,4,2024,7,16,30,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Chelsea,61,1,1,2,2
436261,7,4,2024,7,17,0,32.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Nottingham,351,1,1,3,1
437168,9,4,2024,2,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Southampton,340,Coventry City,1076,2,0,2,1
437171,9,4,2024,2,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Preston NE,1081,Huddersfield,394,0,1,4,1
437167,9,4,2024,2,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Millwall,384,Leicester City,338,0,0,1,0
437170,9,4,2024,2,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Plymouth Arg,1138,QPR,69,0,0,1,1
437172,9,4,2024,2,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sheffield Wed,345,Norwich,68,0,2,2,2
437169,9,4,2024,2,19,0,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leeds United,341,Sunderland,71,0,0,0,0
437175,10,4,2024,3,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Hull City,322,Middlesbrough,343,2,1,2,2
437173,10,4,2024,3,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Birmingham,332,Cardiff,715,0,0,0,1
437174,10,4,2024,3,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Bristol City,387,Blackburn,59,2,0,5,0
437176,10,4,2024,3,18,45,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Ipswich Town,349,Watford,346,0,0,0,0
437177,10,4,2024,3,19,0,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Swansea,72,Stoke,70,1,0,3,0
437178,10,4,2024,3,19,0,42.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,West Brom,74,Rotherham Utd,385,2,0,2,0
437186,12,4,2024,5,19,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Plymouth Arg,1138,Leicester City,338,1,0,1,0
436270,13,4,2024,6,11,30,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Tottenham,73,2,0,4,0
437185,13,4,2024,6,11,30,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leeds United,341,Blackburn,59,0,0,0,1
437190,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,West Brom,74,Sunderland,71,0,1,0,1
436266,13,4,2024,6,14,0,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Brighton Hove,397,0,0,1,1
437179,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Birmingham,332,Coventry City,1076,2,0,3,0
437182,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Southampton,340,Watford,346,2,1,3,2
437188,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sheffield Wed,345,Stoke,70,0,0,1,1
437184,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Ipswich Town,349,Middlesbrough,343,1,1,1,1
437180,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Bristol City,387,Huddersfield,394,0,0,1,1
436269,13,4,2024,6,14,0,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Luton Town,389,1,0,5,1
436265,13,4,2024,6,14,0,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Sheffield Utd,356,0,0,2,0
436271,13,4,2024,6,14,0,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Wolverhampton,76,1,1,2,2
437181,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Millwall,384,Cardiff,715,2,1,3,1
437187,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Preston NE,1081,Norwich,68,0,0,0,1
437183,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Hull City,322,QPR,69,2,0,3,0
437189,13,4,2024,6,14,0,43.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Swansea,72,Rotherham Utd,385,0,0,1,0
436263,13,4,2024,6,16,30,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Man United,66,2,1,2,2
436272,14,4,2024,7,13,0,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Fulham,63,0,1,0,2
436268,14,4,2024,7,13,0,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Crystal Palace,354,0,1,0,1
436264,14,4,2024,7,15,30,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Aston Villa,58,0,0,0,2
436267,15,4,2024,1,19,0,33.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Everton,62,4,0,6,0
437132,29,3,2024,5,12,30,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Bristol City,387,Leicester City,338,0,0,1,0
437134,29,3,2024,5,13,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Millwall,384,West Brom,74,1,0,1,1
437139,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Norwich,68,Plymouth Arg,1138,0,1,2,1
437135,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Southampton,340,Middlesbrough,343,1,0,1,1
437141,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,QPR,69,Birmingham,332,0,0,2,1
437137,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Huddersfield,394,Coventry City,1076,0,2,1,3
437133,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Cardiff,715,Sunderland,71,0,2,0,2
437140,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Preston NE,1081,Rotherham Utd,385,3,0,3,0
437142,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sheffield Wed,345,Swansea,72,1,0,1,1
437138,29,3,2024,5,15,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Hull City,322,Stoke,70,0,0,0,2
437131,29,3,2024,5,17,30,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Blackburn,59,Ipswich Town,349,0,1,0,1
437136,29,3,2024,5,20,0,39.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Watford,346,Leeds United,341,2,1,2,2
436239,30,3,2024,6,12,30,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,West Ham,563,1,2,4,3
436233,30,3,2024,6,15,0,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Everton,62,0,0,2,1
436241,30,3,2024,6,15,0,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Fulham,63,0,0,3,3
436242,30,3,2024,6,15,0,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Luton Town,389,0,1,2,1
436236,30,3,2024,6,15,0,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Burnley,328,1,0,2,2
436240,30,3,2024,6,15,0,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Crystal Palace,354,0,1,1,1
436234,30,3,2024,6,17,30,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Wolverhampton,76,1,0,2,0
436235,30,3,2024,6,20,0,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Man United,66,0,0,1,1
436237,31,3,2024,7,13,0,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Brighton Hove,397,1,1,2,1
436238,31,3,2024,7,15,30,30.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Arsenal,57,0,0,0,0
437149,1,4,2024,1,11,30,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leicester City,338,Norwich,68,1,1,3,1
437146,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Middlesbrough,343,Sheffield Wed,345,1,0,2,0
437152,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Stoke,70,Huddersfield,394,0,1,1,1
437144,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Birmingham,332,Preston NE,1081,0,0,1,0
437150,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Plymouth Arg,1138,Bristol City,387,0,0,0,1
437154,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,West Brom,74,Watford,346,0,0,2,2
437143,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Sunderland,71,Blackburn,59,0,2,1,5
437151,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Rotherham Utd,385,Millwall,384,0,0,2,1
437153,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Swansea,72,QPR,69,0,0,0,1
437145,1,4,2024,1,14,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Coventry City,1076,Cardiff,715,1,1,1,2
437147,1,4,2024,1,16,30,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Ipswich Town,349,Southampton,340,1,2,3,2
437148,1,4,2024,1,19,0,40.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Leeds United,341,Hull City,322,1,1,3,1
436247,2,4,2024,2,18,30,31.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Fulham,63,3,0,3,1
436250,2,4,2024,2,18,30,31.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Everton,62,1,0,1,1
436243,2,4,2024,2,18,45,31.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Crystal Palace,354,0,0,1,0
436246,2,4,2024,2,18,45,31.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Wolverhampton,76,1,1,1,1
436248,2,4,2024,2,19,15,31.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Tottenham,73,1,1,1,1
